"","player_api_id","player_name","player_fifa_id","overall_rating","gk_rating","num_app","num_leagues"
"3655",39455,"Sokratis Papastathopoulos",172879,83,136,166,2
"3656",39462,"Vasilios Pliatsikas",172881,NA,NA,5,1
"3657",39470,"Alessandro Bernardini",198117,71,129,14,1
"3658",39474,"Robert Acquafresca",178490,78,130,113,2
"3659",39477,"Stefano Sorrentino",49031,80,394,247,1
"3660",39483,"Tijani Belaid",178246,NA,NA,1,1
"3661",39485,"Antonio Bocchetti",45080,68,149,23,1
"3662",39487,"Perparim Hetemaj",172233,76,143,160,1
"3663",39488,"Igor Budan",18591,78,125,27,1
"3664",39490,"Paolo Castellini",46807,71,155,42,1
"3665",39492,"Maurizio Ciaramitaro",138957,NA,NA,9,1
"3666",39494,"Zlatko Dedic",141111,71,105,15,1
"3667",39495,"Andrea Gasbarroni",138902,78,157,8,1
"3668",39496,"Vitali Kutuzov",101978,77,111,23,1
"3669",39498,"Daniel Tozser",143746,74,153,96,2
"3670",39502,"Fabio Ceravolo",173162,69,140,17,1
"3671",39509,"Salvatore Aronica",137185,76,134,105,1
"3672",39510,"Andrea Campagnolo",107494,73,366,31,1
"3673",39514,"Ricardo Esteves",20644,67,80,17,1
"3674",39522,"Pietro Marino",178389,64,313,1,1
"3675",39525,"Luca Tognozzi",178477,NA,NA,5,1
"3676",39533,"Gennaro Delvecchio",149136,74,153,51,1
"3677",39534,"Daniele Franceschini",1277,75,148,29,1
"3678",39535,"Christian Maggio",149184,81,158,199,1
"3679",39537,"Ruben Olivera",48826,75,104,51,1
"3680",39538,"Andrea Parola",138874,74,114,21,1
"3681",39539,"Mirko Pieri",164380,74,144,53,1
"3682",39540,"Fabio Quagliarella",159261,83,136,160,1
"3683",39541,"Christian Terlizzi",138911,77,155,60,1
"3684",39549,"Luca Antonini",137427,77,150,91,1
"3685",39555,"Ignazio Abate",168312,81,145,186,1
"3686",39556,"Daniele Corvia",149449,73,123,18,1
"3687",39557,"Francesco Cozza",1275,81,149,20,1
"3688",39559,"Mario Frick",12863,76,113,54,2
"3689",39562,"Abdoulay Konko",161999,79,138,137,2
"3690",39565,"Vedran Runje",15846,75,377,64,1
"3691",39566,"Alex Manninger",6895,77,389,59,2
"3692",39567,"Nicola Pavarini",138971,NA,NA,16,1
"3693",39569,"Leandro Rinaudo",168353,NA,NA,47,1
"3694",39573,"Olivier Renard",184412,71,353,81,1
"3695",39575,"Eric Deflandre",3772,69,134,8,1
"3696",39578,"Karel Geraerts",105945,72,136,130,1
"3697",39580,"Mohamed Sarr",124981,75,126,27,2
"3698",39584,"Stipe Pletikosa",143671,81,407,2,1
"3699",39591,"Axel Witsel",177413,NA,NA,87,2
"3700",39594,"Frederic Dupre",152018,NA,NA,20,1
"3701",39599,"Federico Marchetti",139668,84,406,209,1
"3702",39609,"Martin Lejsal",52867,70,341,10,1
"3703",39618,"Marouane Fellaini",176944,82,141,175,1
"3704",39621,"Gianluca Comotto",149073,78,142,88,1
"3705",39622,"Diego De Ascentis,23",7754,77,147,23,1
"3706",39625,"Mustapha Oussalah",45362,NA,NA,97,1
"3707",39627,"Nuno Andre Coelho",178684,NA,NA,62,1
"3708",39629,"Rogerio Matias",17891,NA,NA,5,1
"3709",39631,"Steven Defour",170815,79,158,127,2
"3710",39633,"Haouliais Axel Cedric Konan",45002,NA,NA,16,2
"3711",39638,"Erjon Bogdani",140906,NA,NA,63,1
"3712",39643,"Andrea Coda",163402,77,139,109,1
"3713",39644,"Gaetano D'Agostino",105330,83,163,97,1
"3714",39646,"Igor Djuric",170743,53,53,8,1
"3715",39653,"Schumacher",177979,NA,NA,7,1
"3716",39658,"Manuel da Costa",177533,77,108,43,3
"3717",39659,"Robert Malcolm",109727,NA,NA,11,1
"3718",39660,"Derek Riordan",49043,79,125,93,1
"3719",39669,"Sasa Papac",47853,NA,NA,118,1
"3720",39670,"Filip Sebo",150520,67,124,7,1
"3721",39694,"Michele Ferri",138901,68,62,16,1
"3722",39696,"Paolo Bianco",137206,NA,NA,59,1
"3723",39699,"David Baiocco",45121,71,159,25,1
"3724",39701,"Fabio Caserta",163927,75,152,44,1
"3725",39702,"Cesar",46065,NA,NA,3,1
"3726",39706,"Giuseppe Mascara",149217,80,161,100,1
"3727",39711,"Nery Castillo",101015,NA,NA,5,1
"3728",39713,"Ciro Polito",158996,71,350,4,1
"3729",39714,"Cristian Silvestri",3325,72,144,15,1
"3730",39719,"Juan Vargas",167305,NA,NA,142,2
"3731",39721,"Davide Mandelli",113184,74,131,59,1
"3732",39722,"Davide Moro",163405,73,139,23,1
"3733",39725,"Bogdan Lobont",136875,82,406,18,1
"3734",39726,"Guglielmo Stendardo",149147,77,136,149,1
"3735",39729,"Luciano Zauri",10584,77,151,75,1
"3736",39731,"Sebastiano Siviglia",103783,75,107,44,1
"3737",39732,"Dario Knezevic",177492,NA,NA,28,1
"3738",39734,"Ivica Iliev",140607,71,63,58,2
"3739",39735,"Haruna Babangida",146984,68,141,6,2
"3740",39738,"Antonio Barilla",173155,69,138,26,1
"3741",39743,"Alberto Maria Fontana",123617,NA,NA,12,1
"3742",39744,"Andrea Ardito",51782,71,141,7,1
"3743",39745,"Elvis Abbruscato",157774,78,145,22,1
"3744",39749,"Alexandre D'Acol",220042,64,47,3,1
"3745",39752,"Roberto Stellone",7604,77,120,16,1
"3746",39762,"Alessandro Budel",137159,80,171,4,1
"3747",39763,"Alessandro Agostini",27971,74,133,182,1
