"","psraid","age","race","sex","inc","cable1","q5f","q5d","date2a","game1","game3a","job5d","snsjob2a","ideo"
"544",102972,73,1,2,99,1,NA,NA,NA,2,1,NA,NA,3
"545",102975,68,1,2,3,1,2,2,2,2,1,NA,NA,2
"546",102981,61,1,2,6,1,2,2,2,2,1,NA,NA,2
"547",102993,72,1,1,99,1,NA,NA,NA,2,1,NA,NA,3
"548",103000,56,1,2,7,1,NA,NA,2,1,1,2,2,3
"549",103002,55,1,2,7,2,NA,NA,NA,2,8,NA,2,8
"550",103003,62,1,1,9,1,2,1,2,2,1,2,1,3
"551",103006,75,1,1,1,2,NA,NA,NA,2,2,NA,NA,5
"552",103009,70,5,1,99,1,NA,NA,1,2,2,NA,2,3
"553",103017,52,1,1,9,1,NA,NA,2,2,1,2,1,3
"554",103020,24,2,2,3,1,NA,NA,2,1,1,1,2,3
"555",103022,99,1,2,99,1,2,2,NA,1,1,NA,NA,4
"556",103023,69,1,2,98,1,2,2,NA,1,2,NA,2,3
"557",103025,36,1,2,6,2,NA,NA,2,2,8,NA,2,2
"558",103028,18,1,1,98,1,1,1,2,1,1,1,2,3
"559",103030,55,1,2,99,1,NA,NA,2,2,1,NA,2,3
"560",103037,56,1,2,98,1,2,1,2,2,1,NA,2,2
"561",103040,47,1,2,5,1,NA,NA,2,1,1,1,2,3
"562",103051,63,1,2,2,1,NA,NA,NA,1,1,NA,2,4
"563",103053,67,1,2,7,1,1,2,NA,2,1,NA,2,5
"564",103054,66,1,1,9,1,2,1,2,2,1,2,2,3
"565",103057,63,1,2,6,1,NA,NA,NA,2,2,1,NA,2
"566",103064,49,1,2,8,1,2,2,2,1,2,1,NA,1
"567",103065,69,1,1,8,1,2,2,NA,2,1,NA,NA,5
"568",103067,79,2,1,4,1,NA,NA,NA,2,1,NA,NA,2
"569",103074,74,6,1,3,1,NA,NA,NA,1,2,NA,NA,3
"570",103077,70,1,1,9,1,NA,NA,2,1,8,NA,NA,3
"571",103078,53,1,1,4,1,2,2,NA,2,1,NA,NA,8
"572",103084,38,1,1,2,1,NA,NA,2,1,1,2,1,2
"573",103087,74,1,1,5,1,2,2,2,2,1,NA,NA,1
"574",103089,64,1,2,3,1,NA,NA,NA,1,2,NA,2,4
"575",103093,68,1,2,3,2,1,2,2,2,2,NA,NA,2
"576",103095,52,1,1,7,1,NA,NA,2,2,2,2,2,3
"577",103102,49,4,2,1,1,2,2,2,1,2,NA,2,8
"578",103107,33,8,2,98,1,NA,NA,NA,2,8,NA,NA,8
"579",103110,53,1,1,1,1,2,1,2,2,1,NA,NA,5
"580",103112,47,1,2,8,1,NA,NA,2,2,1,2,2,2
"581",103116,61,1,2,9,1,NA,NA,2,1,2,2,2,3
"582",103128,55,1,1,7,1,NA,NA,NA,1,2,1,NA,3
"583",103134,55,1,1,7,1,2,2,2,1,8,2,NA,4
"584",103136,72,1,2,99,1,2,2,NA,1,8,NA,NA,3
"585",103137,65,1,1,5,1,2,2,NA,2,8,NA,2,1
"586",103139,45,1,2,99,1,1,1,2,1,1,2,2,3
"587",103144,62,1,2,99,1,2,2,NA,1,2,NA,2,2
"588",103155,65,1,1,5,2,NA,NA,NA,2,8,1,NA,2
"589",103160,30,1,1,7,1,1,1,2,1,1,1,2,2
"590",103161,67,1,2,6,1,NA,NA,2,2,1,NA,2,3
"591",103162,86,1,2,2,1,NA,NA,NA,2,1,NA,NA,4
"592",103170,67,1,2,4,1,2,2,2,2,1,NA,NA,3
"593",103175,47,5,2,9,1,1,2,2,1,8,2,2,4
"594",103176,66,1,2,6,1,2,2,2,1,1,1,1,4
"595",103178,43,2,2,3,1,1,1,2,2,1,1,1,1
"596",103184,71,1,2,4,1,2,2,2,1,2,1,2,3
"597",103187,44,2,2,3,1,NA,NA,2,1,2,NA,NA,3
"598",103189,52,1,1,7,1,2,2,NA,2,8,1,NA,2
"599",103191,81,1,1,99,1,NA,NA,NA,2,2,NA,NA,2
"600",103204,69,1,1,3,1,2,2,NA,2,8,NA,2,1
"601",103206,33,1,2,7,1,1,2,2,1,2,1,2,3
"602",103207,50,1,1,99,1,NA,NA,NA,2,8,NA,NA,5
"603",103222,77,1,2,8,1,2,2,NA,2,1,NA,NA,3
"604",103224,48,1,2,6,1,NA,NA,NA,1,2,1,2,3
"605",103228,55,1,2,8,1,NA,NA,2,1,1,1,2,3
"606",103231,68,1,2,4,1,NA,NA,NA,1,1,NA,2,4
"607",103234,57,1,2,4,1,2,1,2,2,1,1,2,4
"608",103238,68,1,2,7,1,NA,NA,2,1,1,NA,2,5
"609",103240,32,2,1,6,1,1,1,2,1,1,1,2,3
"610",103241,86,1,1,6,1,2,2,NA,2,8,NA,NA,2
"611",103255,42,1,1,9,1,NA,NA,2,1,1,1,2,3
"612",103259,76,1,2,8,1,NA,NA,NA,2,8,NA,NA,4
"613",103268,48,1,2,8,1,2,2,2,2,1,8,2,2
"614",103273,62,1,1,5,1,NA,NA,NA,1,2,1,2,1
"615",103274,42,1,2,3,1,2,2,2,1,2,1,NA,2
"616",103283,78,1,2,98,1,NA,NA,NA,2,8,NA,NA,8
"617",103289,84,1,1,4,1,NA,NA,NA,2,2,NA,NA,3
"618",103291,18,1,1,9,1,1,1,2,1,1,NA,1,2
"619",103292,64,1,1,2,1,2,2,NA,2,1,NA,2,3
"620",103299,45,1,1,3,1,NA,NA,2,2,1,NA,2,5
"621",103302,51,1,2,1,1,NA,NA,NA,1,1,NA,2,3
"622",103304,57,1,1,6,1,NA,NA,NA,2,1,1,NA,2
"623",103306,83,1,2,98,1,NA,NA,NA,2,2,NA,NA,2
